source_id,relationship,target_id
NDI-2cdbgj,member_of,NDT-zk3lhx
NDI-hgbbzn,member_of,NDT-wcjtfz
NDI-fumd3q,member_of,NDT-wcjtfz
NDI-nl3yam,member_of,NDT-znf2v5
NDI-iuc2r5,member_of,NDT-znf2v5
NDI-ow2t74,member_of,NDT-znf2v5
NDI-su335j,member_of,NDT-znf2v5
NDI-eohpdo,member_of,NDT-znf2v5
NDI-mmp2kt,member_of,NDT-znf2v5
NDI-ztoto2,member_of,NDT-xyrxwd
NDI-w2b3yw,member_of,NDT-xyrxwd
NDI-eohpdo,member_of,NDT-dxjmnq
NDI-rfdub6,member_of,NDT-dxjmnq
NDI-fkbdsm,member_of,NDT-6zfsxi
